-- Startup on: Friday, June 20, 2025 02:16:22 PM --
sequence_number	time	processID	unique_processID	stack_level	operation_type	operation	operation_parameters	form_event	stack_opening_sequence_number	stack_level_execution_time
63283	2025-06-20T14:16:22.745	1	95	0	2	On Host Database Event		0		
63284	2025-06-20T14:16:22.746	1	95	2	2	Tools:constructor		0		
63285	2025-06-20T14:16:22.746	1	95	2	2	Tools:constructor		0	63284	14
63286	2025-06-20T14:16:22.746	1	95	2	9	Tools.init		0		
63287	2025-06-20T14:16:22.746	1	95	3	2	Tools.init		0		
63288	2025-06-20T14:16:22.746	1	95	3	2	Tools.init		0	63287	30
63289	2025-06-20T14:16:22.747	1	95	2	9	Tools.init		0	63286	318
63290	2025-06-20T14:16:22.747	1	95	0	2	On Host Database Event		0	63283	1081
63291	2025-06-20T14:16:22.747	1	95	0	2	On Host Database Event		0		
63292	2025-06-20T14:16:22.747	1	95	0	2	On Host Database Event		0	63291	0
63293	2025-06-20T14:16:22.748	3	96	0	8		Design process	0		
63294	2025-06-20T14:16:49.446	12	98	0	8		$xx	0		
63295	2025-06-20T14:16:49.463	3	96	0	8		Design process	0	63293	26715153
63296	2025-06-20T14:16:49.464	12	98	1	2	On Host Database Event		0		
63297	2025-06-20T14:16:49.464	12	98	1	2	On Host Database Event		0	63296	1
63298	2025-06-20T14:16:49.465	12	98	1	2	On Host Database Event		0		
63299	2025-06-20T14:16:49.465	12	98	1	2	On Host Database Event		0	63298	0
63300	2025-06-20T14:16:49.465	12	98	0	8		$xx	0	63294	18830
